country_code_3,country_name,year,v2x_partipdem,v2x_delibdem,v2x_cspart,v2xeg_eqaccess,v2x_libdem,transition_capacity_score
THA,Thailand,2025,0.23688434784824314,0.2225528871663552,0.654661558109834,0.6379301502641161,0.35515985247867504,0.39475512078703506
UGA,Uganda,2025,0.19866486610441558,0.26292476988026847,0.7128991060025544,0.43791989332786296,0.18659637531959183,0.3516546704938001
VEN,Venezuela,2025,0.1884730043060616,0.026460885413062032,0.00013282247765006387,0.40920047181906766,0.04744665927551644,0.12225710658949854
BEN,Benin,2025,0.00028027619945473537,0.35058942948762306,0.6454661558109834,0.8379404072003692,0.36534153901848543,0.3973029495167944
BTN,Bhutan,2025,0.4445435319897062,0.5801324197753015,0.7088122605363985,0.7979383558131187,0.516935538611218,0.5951625242121821
BFA,Burkina Faso,2025,0.13241776441511452,0.055297944494428666,0.6495530012771392,0.679983588901995,0.11645586804534246,0.29630544602491427
KHM,Cambodia,2025,0.0,0.0910558977553233,0.2735632183908046,0.3527873224267911,0.05762834581532683,0.13903896835330945
IDN,Indonesia,2025,0.37957041302519934,0.41864488891964835,0.7261813537675607,0.5271552387301913,0.3347964793990542,0.47408285395911093
MOZ,Mozambique,2025,0.25599408872015694,0.00012688305995801324,0.720051085568327,0.7989640494384328,0.1979093603638256,0.3575714715290329
NPL,Nepal,2025,0.5541060463220119,0.46824463053959897,0.8763729246487868,0.7979383558131187,0.57123786682354,0.6362386875406589
NIC,Nicaragua,2025,0.124773868066349,0.01953999123353404,0.1162196679438059,0.13534027386019798,0.021426793673778765,0.08283745854382846
NER,Niger,2025,0.2407062960226259,0.2917618289616351,0.000582375478927203,0.8461459562028822,0.20017195737267235,0.2901811933781839
ZMB,Zambia,2025,0.4432695492649119,0.47516552471912693,0.9376756066411239,0.7107543976614186,0.424169061248501,0.5873824086607224
ZWE,Zimbabwe,2025,0.2572680714449512,0.0001845571781207465,0.7731800766283525,0.15482845274116622,0.16623300223997103,0.2671583907286091
GIN,Guinea,2025,7.64389634876551e-05,0.10951161556739795,0.5422733077905492,0.6317759885122314,0.10740548000995544,0.24672889546915927
CIV,Ivory Coast,2025,0.3337070349326063,0.27792004060257913,0.7220945083014049,0.5138212216011078,0.2578681810982646,0.41307908094898316
MRT,Mauritania,2025,0.28147374321604196,0.26292476988026847,0.00038825031928480213,0.2030360531309298,0.1436070321515035,0.18817374113029958
CAN,Canada,2025,0.7502993859403265,0.7808383509816134,0.958109833971903,0.8605056669572799,0.8325678213453402,0.8283674242702586
AUS,Australia,2025,0.8254643667031875,0.8892656931275519,0.9478927203065135,0.8994820247192163,0.8970518360974727,0.8877411381414909
BWA,Botswana,2025,0.4700231864855912,0.000334509885343853,0.8743295019157088,0.7004974614082774,0.0005203973120347535,0.3976080032839224
BDI,Burundi,2025,0.18082910795729606,0.07606062703301265,0.3205619412515965,0.5312580132314477,0.0,0.20802352398261365
CPV,Cape Verde,2025,0.5834076489922796,0.6331926084850161,0.69757343550447,0.809220985691574,0.7137814783808856,0.6721151210810867
CAF,Central African Republic,2025,8.917879073559761e-05,0.15103698064456594,0.34406130268199236,0.5199753833529924,0.11532456954091908,0.2018887933293106
CHL,Chile,2025,0.7311896450684128,0.8892656931275519,0.7915708812260537,0.8543515052053952,0.8834762540443921,0.82410217468167
CRI,Costa Rica,2025,0.7719570922618288,0.9077214109396265,0.9019157088122606,0.0008718395815170009,0.9151526121682467,0.7377064353252805
TLS,Timor-Leste,2025,0.5885035798914566,0.0005536715343622395,0.7701149425287357,0.7035745422842197,0.6210150010181686,0.49997573285756003
ECU,Ecuador,2025,0.5885035798914566,0.42210533600941236,0.00044955300127713925,0.40304631006718294,0.4366133447971582,0.37869108780512384
FRA,France,2025,0.7604912477386806,0.9146423051191546,0.8845466155810984,0.9251243653520693,0.0008371608932732992,0.7345869402674798
DEU,Germany,2025,0.7553953168395036,0.000842042125175906,1.0000000000000002,0.9548694804861788,0.8846075525488155,0.6649808946964191
