Year,Number,Name,any_item_aggregated,NorthSouth,NorthNorth,SouthSouth,polity2max,competition,epimax,so2popmin_ln
1993,659,Slovakia Slovenia,4,0,0,1,20.0,,56.8781755123333,4.127607954682405
1997,660,Slovakia Turkey,5,0,0,1,17.0,0.3960092095165,59.0797931729903,0.0293791182669117
1998,661,Slovenia Turkey,4,0,0,1,20.0,0.993464052287582,43.6975613122381,0.0296182467388316
1948,663,South Africa Southern Rhodesia Customs Union,0,0,0,1,14.0,,,2.6432161090816537
1964,664,South Africa Zimbabwe,0,0,0,1,14.0,,,0.0530283194572149
1993,666,"South Asian Association for Regional Cooperation, Preferential Trading Arrangement (SAPTA)",0,1,0,0,18.0,0.818276220145379,51.3971962086138,0.004092114301125
2004,667,South Asian Free Trade Area (SAFTA),2,0,0,1,19.0,0.986576121288692,58.8386741932704,0.0054316989805312
1980,668,South Pacific Trade and Economic Co Operation Agreement (SPARTECA ),1,0,0,1,20.0,1.0,,0.1044139747173599
1969,669,Southern Africa Customs Union (SACU),1,0,0,1,19.0,,,0.0
2002,670,Southern Africa Customs Union (SACU),7,0,0,1,19.0,,54.2407754211956,0.0483443178779019
1992,671,Southern African Development Community (SADC),2,0,0,1,17.0,,56.1414032489263,0.4868347135524782
1996,672,Southern African Development Community (SADC),4,0,0,1,20.0,0.996941896024465,55.8054038721024,0.058763716120676
2004,675,Syria Turkey,7,0,0,1,17.0,0.988115833944795,26.1144153806838,0.0196278943006687
2001,677,Tajikistan Ukraine,6,0,0,1,16.0,0.0,47.1346112538834,0.0267726396713065
2005,679,Trans Pacific Strategic EPA,53,1,0,0,20.0,1.0,59.9850855174769,0.0685367723991041
1960,680,Treaty of Economic Association,0,0,0,1,9.0,,,1.1517564555904751
1989,681,Trinidad and Tobago Venezuela,1,0,0,1,19.0,0.60620320855615,,2.7085581916672585
1967,682,Tripartite Agreement,0,0,0,1,19.0,1.0,,1.0463151509610569
2004,683,Tunisia Turkey,4,0,0,1,17.0,0.990358508339336,31.1884934187383,0.0196278943006687
1994,684,Turkmenistan Ukraine,4,0,0,1,17.0,,35.2950812309511,0.0400381584266802
1994,686,Ukraine Uzbekistan,7,0,0,1,17.0,,35.2950812309511,0.0400381584266802
2000,687,United States Vietnam,7,1,0,0,20.0,0.0,49.6911664809581,0.0511867169297549
1994,688,West African Economic and Monetary Union,3,0,0,1,18.0,,49.9338634871813,0.2968507969676465
1999,693,Andean Community Auto Agreement,4,0,0,1,19.0,0.999424294761082,56.0793642156613,1.552073862577628
1997,694,Andean Community Sucre Protocol,1,0,0,1,19.0,0.994949494949495,56.3915474561488,0.0406705420693001
1984,697,Argentina Uruguay,1,0,0,1,18.0,0.981069958847737,,1.6770555739385609
1974,698,Argentina Uruguay ,4,0,0,1,16.0,0.972602739726027,,1.9297423504436424
1982,699,Argentina Uruguay ,4,0,0,1,3.0,1.0,,1.7389603953255717
1968,700,Arusha Agreement I,1,0,0,0,20.0,1.0,,0.0570237514457473
1958,706,Benelux Economic Union,0,0,1,0,20.0,,,3.5844960843748668
1993,714,Central American Common Market (CACM) Protocol of Guatemala,7,0,0,1,20.0,,52.1033122822614,1.4340325981429465
1999,715,Chile Cuba,6,0,0,1,18.0,0.0,41.8001116892167,0.0835360049615494
2006,716,Chile Peru,19,0,0,1,20.0,0.999893469692127,50.1090485029873,
1992,732,Faroe Islands Finland,6,0,1,0,20.0,,48.0525081122213,3.4762065451679107
1997,742,Guinea Morocco,1,0,0,1,9.0,0.0,42.3783781127968,2.4759534221713357
1989,756,Jordan Sudan amended,1,0,0,1,6.0,,,0.6854609248265429
2006,764,Malawi Zimbabwe,7,0,0,1,16.0,0.9944156,56.8583957474851,0.0035862849860701
1987,767,Mexico Peru,1,0,0,1,17.0,0.0,,0.0305534601756499
1966,768,Morocco Saudi Arabia,0,0,0,1,1.0,0.0,,1.5255081453123875
1963,769,Morocco Senegal,0,0,0,1,7.0,1.0,,1.2832275986766477
2005,771,Peru Thailand,3,0,0,1,19.0,0.889714131837764,49.292556956117,0.0392924622708244
1981,772,PTA for Eastern and Southern African States,3,0,0,1,19.0,1.0,,0.1905951908094835
1973,780,West African Economic Community (CEAO),7,0,0,1,6.0,1.0,,1.392886038281773
2008,781,Paraguay Venezuela,0,0,0,1,18.0,0.0,54.2877102264465,
2008,782,Uruguay Venezuela,1,0,0,1,20.0,,54.2877102264465,
1954,783,Canada Portugal,2,0,1,0,20.0,,,0.1761229158119368
1954,784,Canada Spain,0,0,1,0,20.0,,,0.1761229158119368
1998,785,Latvia Ukraine Agriculture,0,0,0,1,18.0,,53.0361808073694,0.0292621718638886
1999,787,East African Community (EAC),55,0,0,1,9.0,,53.8700972853311,0.5615543150286003
1968,788,East Caribbean Common Market,1,0,0,1,,,,
2008,789,MERCOSUR Southern African Customs Union (SACU),5,0,0,1,20.0,0.996108078918439,53.6952944400354,0.0039590593803064
